Parish name,Acadia,Allen,Ascension,Assumption,Avoyelles,Beauregard,Bienville,Bossier,Caddo,Calcasieu,Caldwell,Cameron,Catahoula,Claiborne,Concordia,De Soto,East Baton Rouge,East Carroll,East Feliciana,Evangeline,Franklin,Grant,Iberia,Iberville,Jackson,Jefferson,Jefferson Davis,Lafayette,Lafourche,LaSalle,Lincoln,Livingston,Madison,Morehouse,Natchitoches,Orleans,Ouachita,Plaquemines,Pointe Coupee,Rapides,Red River,Richland,Sabine,St. Bernard,St. Charles,St. Helena,St. James,St. John the Baptist,St. Landry,St. Martin,St. Mary,St. Tammany,Tangipahoa,Tensas,Terrebonne,Union,Vermilion,Vernon,Washington,Webster,West Baton Rouge,West Carroll,West Feliciana,Winn
Acadia,0.0,35.20413188848955,89.94811498213839,85.23338387244404,59.389740047724445,60.7907249800214,146.72598304924102,178.94872267919303,180.0920422636338,56.7310627784098,125.36511494691706,54.86947048501178,100.52484365042982,177.82060166815975,91.85972772434975,144.72149412974517,80.42347422460246,182.01367761114588,89.96673756870898,30.19480272622257,134.26278690523267,90.60881489731393,48.99962804277277,63.56279796670689,138.84211388531043,141.2072540263544,24.091349750622072,21.603148560952125,129.1984294293284,96.6629437007899,159.91744848165055,101.12106050614976,158.7254548015867,177.96009666947407,106.73002423651931,149.38331197903958,151.49287051530072,178.10704354242435,56.339434127708806,62.964970165468806,135.79193346973932,151.48452545264362,110.90834942332525,173.59655825024097,125.83737101325939,107.84797036197574,98.58975894295214,116.68027418177172,32.23021271363037,49.35315312087324,69.83311377913496,146.81183643953935,121.94318423125961,133.90710278857313,110.68744998956721,175.09523138007853,31.039142423870636,72.70880081537652,146.57270088640584,175.5935263300226,66.72903261268273,181.08929790169637,71.71281566906549,114.6975385402667
Allen,35.20413188848955,0.0,118.52881965261028,117.62456374741855,57.1257897386353,30.68613423156154,117.5052301127306,146.8626495562294,146.63147031606638,43.04577008431174,107.72067213790145,57.855042320445,90.82920309742254,149.8163706727531,89.15097671705949,110.5665634141204,103.53894992612595,171.2661166791976,106.87718069280656,25.66168890955902,122.69207819205617,67.13354880645613,83.76844776258908,92.32091383481401,114.72447930682507,172.1670767849527,26.554487186044327,55.00139821126165,162.17879316772212,80.86658184592623,134.5981612980749,126.06731983266698,150.5233661708811,161.0779995140272,75.43449639464852,177.78937438324553,131.88301452727117,210.13437799211326,73.17079455169684,41.46413571007063,103.7252828256993,136.85404178346698,76.12085633677403,203.0218291853803,156.3730438396025,126.54898385262402,128.9997499835145,145.35715250606148,49.123177048335656,81.28670586731313,104.58189041781826,171.92889911324926,144.2941383928742,127.9733450149062,145.24360882538576,152.4699146888011,63.19800745721776,37.84148322449,166.4134449221136,145.073038609847,91.27173176193966,167.83236238289803,85.20286450347882,89.67173850371034
Ascension,89.94811498213839,118.52881965261028,0.0,22.59841437065684,88.48818290678078,148.37227752192086,194.71572205291474,233.18885037324807,240.07775185219387,146.38343815436758,148.43661431155465,138.63726330722835,115.06327595931586,218.38632923369434,95.9235367090795,210.51756154481825,25.548779705427183,175.27657412611518,44.909243436609586,96.25075835377511,140.40530277939484,137.24202573627267,53.463991719400546,26.48303876733615,174.3380583620229,55.013805085092685,113.89386998430714,68.96019188312854,52.70120844664799,125.71087273812714,195.01127793207587,19.63457274790064,150.15197954771892,187.77828924310873,166.68531856037424,59.54730993405755,173.11179643411182,94.1816585480824,53.92176624778129,118.40242672182224,194.0236901562588,160.65675381287656,182.88498908538463,84.4931556238936,38.987525254904135,44.24712626839523,14.074020885199506,26.890877939723204,70.79927200735457,42.03229642360294,46.312377333119954,58.70591649693921,41.954817643320204,126.46252693801084,54.39857827007509,200.61388745337825,88.18646416933491,149.02240640401155,68.55346820042244,224.4612584251088,29.933573600426698,180.97758167243066,55.585547015762124,157.63104889927186
Assumption,85.23338387244404,117.62456374741855,22.59841437065684,0.0,98.42585155396263,145.81474732035707,205.7900487054186,243.35496176968064,248.8493987532484,139.46786451380285,163.36805865815853,128.029317489118,130.19186708385973,231.4272343529091,111.7826065461794,217.3272301886415,43.85203221643731,195.25040701181305,64.94380122384477,98.50940527558734,157.93351863307964,147.040841744921,40.2112953214117,30.01826746762527,187.62023236486783,56.5846841121656,107.99803157199892,63.65852290617593,44.656631806949534,138.63705858523505,208.78400368184245,42.05692519772838,169.95558604927965,205.73764333900755,174.30037972998846,68.83104842573562,188.9246165758377,92.8810451534496,64.28513734358248,125.21243305244126,202.64082087804792,178.22187940807765,187.41093218834718,90.4161076392286,42.164516942998134,66.70973518809764,18.205255354671998,38.581105870747365,74.1314499726129,36.34490263036696,26.443045649642254,74.68903812507534,63.4261429286556,145.57632485200116,35.56426989323324,216.24690586335316,75.93807761456131,151.46645194774774,89.46375415535091,235.78813534892606,41.49203624231302,200.21075705337964,70.66213539791211,168.9537013739751
Avoyelles,59.389740047724445,57.1257897386353,88.48818290678078,98.42585155396263,0.0,85.00982751053456,107.36424431454141,145.1597823434375,151.5999878320024,99.66460878369656,70.34239313978688,109.1043399649486,41.65341847411933,133.7582346777537,33.25008743025565,122.62026372560251,65.38031235228405,122.68147291263087,58.942314329705454,33.9179415119471,75.34305624463931,48.88167804330275,82.84555135242734,68.40985123830436,90.58689748529338,142.76742260601154,73.78716645283426,60.013065989090165,140.31103965544395,42.433613759262755,112.10447746070538,87.52604725967132,99.3609914547457,120.72775794165628,78.56912201723902,141.6946820634832,97.02543843576072,182.04572856703734,34.71208717336008,32.62042840869887,105.53796546226539,93.48334760319413,97.81931962640496,167.9944766551527,126.93778227173132,78.63648571489492,102.04851148715564,112.24494152919897,32.88882117272904,69.32661504117326,99.0421759819551,129.92935035510226,99.77130363212106,74.7559575166955,133.0653115889612,122.92893049592124,86.87752044959302,70.16414508121427,117.41727085940072,137.36493258717226,58.82037981050883,122.23479565814276,37.070274762912526,70.58656184312382
Beauregard,60.7907249800214,30.68613423156154,148.37227752192086,145.81474732035707,85.00982751053456,0.0,118.25504603213204,140.69721248841904,136.8519826537705,28.89722497009208,123.09566021866354,54.005527641381185,113.01286778424118,151.18334137343635,114.98322085747087,99.68258668845917,134.15624646453458,189.8300780237016,137.37866217852098,56.07000596648964,142.1119479431971,80.31544976425447,109.43442158821355,121.97585763428684,122.99003491623034,201.27729446218163,41.05381252379507,82.20779311499814,189.96524363788453,99.63738661333974,140.37236761095625,156.59076127101216,171.3015834269515,174.99221372828148,75.47753286717918,207.825812415337,144.24357978564203,238.6751078436651,103.82870915975126,61.2357992678824,99.51914949135319,153.4469563519018,64.29803247899487,232.79419781368688,185.65129673619506,157.12622096101677,158.2652598084108,175.25780450302108,79.74907768412622,109.61038626494533,130.1494286649176,202.50431123470645,174.9791514323459,150.74442939277654,171.0497463566835,160.86235768621688,82.25760379562065,33.04612271498792,196.9996358654045,142.2692181527208,121.7189641356438,184.59915937207316,115.51120980053412,98.55455495454726
Bienville,146.72598304924102,117.5052301127306,194.71572205291474,205.7900487054186,107.36424431454141,118.25504603213204,0.0,39.334942963755005,50.871436473203794,147.00755956742927,57.763480769019154,170.49009874338586,85.09632049185583,32.94733035974328,103.84987839557265,44.69082206217995,170.11962541095943,109.55745446919144,157.37829953024783,117.9160986154928,82.2811823383307,59.19473669401268,186.20027681299192,175.7733800769794,29.320874552321044,247.44559494236591,143.98601740230143,158.7221710906302,247.15704152151508,69.98649457282211,28.79573692813359,190.2435610356753,106.06635370616794,80.10318689120042,43.05249699288562,242.73636735066634,53.44458853492934,286.33806006506916,141.80043170946007,84.91811827352183,24.144048056844653,75.73410268194479,61.405677346776315,268.70632619806224,232.06565327739284,173.73324666184672,208.59429831508703,216.38660254138043,135.48363358650687,175.2055091241807,204.53189628474806,226.54976287284694,196.30275630031852,103.34215957521374,240.27641781024522,51.90609207492395,177.66355756774917,85.69891820085657,205.45398712800315,30.030220331866335,165.68994896882404,98.14612044512047,139.73871735315444,37.08566921888889
Bossier,178.94872267919303,146.8626495562294,233.18885037324807,243.35496176968064,145.1597823434375,140.69721248841904,39.334942963755005,0.0,17.523128184649185,169.36142655718913,95.92626077331116,194.6363770820153,124.40661478247465,36.83653281924821,143.1823501363935,43.62102213813144,208.86791031783656,138.12092915944618,196.59402176483923,151.7475521829753,118.96552605480831,96.33450126875576,221.3960673239428,213.36779441243695,66.42403581449469,286.3559903030129,172.52550048745422,193.07697920694116,285.4041647501548,109.20700262045388,55.06031798272194,229.30171033810527,139.59058616308405,105.45194031011665,72.23757542984566,281.99408007903196,85.71288542283037,325.3471204449517,179.82513843547233,119.83405484083359,43.206598383830695,108.95868466046981,76.84212194109674,307.99650213635573,270.8736162923503,213.0632763027529,246.9677721468296,255.33662593270873,171.4922335361385,211.57159186172393,240.4546612292968,265.8841568838547,235.63409180708794,140.4450200289156,277.3463805794243,72.40290448341092,209.29952658922804,110.9699929175296,244.58740198123388,15.911303537252804,203.86533361117122,125.33968317690898,178.57682803735813,75.94568519010686
Caddo,180.0920422636338,146.63147031606638,240.07775185219387,248.8493987532484,151.5999878320024,136.8519826537705,50.871436473203794,17.523128184649185,0.0,164.9279871185516,108.6289879738798,190.7757260991588,134.9492497193949,54.27806193148493,153.09433668319417,37.170289297878135,216.37591984885805,154.6697464062392,205.44507022089593,154.41700343284108,132.79131522356963,102.89889176611806,224.5058987393462,219.03844437913446,79.73841308743788,294.00658093500056,171.3871480076761,195.6819721813674,291.7487793654837,118.61038872319783,71.03200282311323,237.49472803375903,154.89882124202444,122.33663017930031,74.91208711114201,290.8461150097262,101.08211758827754,333.19274333589874,186.27362991655562,123.91910870561442,46.211982586936244,124.23266160957645,72.63534235152619,317.0170497416836,278.3153925501339,222.67887084189522,253.63587082039746,263.1592759891496,175.74369063077597,215.8583790307235,244.13580635508728,275.67803865314164,245.23075366885826,154.03998885009014,282.10322507610965,89.51689427740025,209.73271320884578,109.43271219273322,255.62534565077752,33.195381035777785,210.39310447019378,142.06669304013602,186.41809150087627,85.08425444687731
Calcasieu,56.7310627784098,43.04577008431174,146.38343815436758,139.46786451380285,99.66460878369656,28.89722497009208,147.00755956742927,169.36142655718913,164.9279871185516,0.0,147.9367689363844,26.29229116691123,133.59640400633535,179.9512142917825,132.1086047965924,127.79535751614472,136.78416345418245,213.19267526332885,144.269939193103,66.41723172079003,164.79290127666314,105.65254148258548,100.15547155566826,120.14295647481045,150.44381996421745,196.02532818708855,32.640620260918105,77.437104014427,181.8180199239723,122.47672173107972,168.49323993847466,157.82433880456597,193.11717306358995,200.7400093269321,104.09705567815281,205.5757251459459,170.4965310430181,231.53358388247716,109.94970391864811,82.88032216720488,128.40705890979604,177.8340915653423,92.68623813443908,229.23908820872623,181.10672103631524,163.08896841569174,154.2110025814082,172.92976187698892,84.65524551900204,104.94431330517374,119.74742288327332,203.54267178755904,178.34979912894863,170.9245745283538,159.8233268928035,188.45638760894147,67.3391989355734,61.43021684008551,202.42190838667779,171.15736800349305,123.26068219705296,208.9947155342225,123.9274251876647,125.64183003713067
